,Date,Race,Circuit,Country,Lat_Lon
0,2020-03-08, Grand Prix of Qatar,Losail International Circuit,QATAR,"(25.4909996, 51.4520682675116)"
1,2020-03-22,  OR Thailand Grand Prix ,Chang International Circuit,THAILAND,"(2.7601913, 101.736858607147)"
2,2020-04-05, Red Bull Grand Prix of The Americas,Circuit Of The Americas,UNITED STATES,"(30.1387146, -97.6364097869511)"
3,2020-04-19, Gran Premio Motul de la República Argentina,Termas de Río Hondo,ARGENTINA,"(-27.4959255, -64.8640783)"
4,2020-05-03, Gran Premio Red Bull de España,Circuito de Jerez,SPAIN,"(36.69444715, -6.15631689958845)"
5,2020-05-17, SHARK Helmets Grand Prix de France,Le Mans,FRANCE,"(48.0073498, 0.1967379)"
6,2020-05-31, Gran Premio d'Italia Oakley,Autodromo Internazionale del Mugello,ITALY,"(43.9993822, 11.3723647068196)"
7,2020-06-07, Gran Premi Monster Energy de Catalunya,Circuit de Barcelona-Catalunya,SPAIN,"(41.56946855, 2.25806310666666)"
8,2020-06-21, HJC Helmets Motorrad Grand Prix Deutschland,Sachsenring,GERMANY,"(50.7328604, 12.4751047884026)"
9,2020-06-28, Motul TT Assen,TT Circuit Assen,NETHERLANDS,"(52.95964605, 6.52797419699044)"
10,2020-07-12, Finland Grand Prix,KymiRing,FINLAND,"(60.88117595, 26.4788261520755)"
11,2020-08-09, Monster Energy Grand Prix České republiky,Automotodrom Brno,CZECH REPUBLIC,"(49.2102429, 16.4506683)"
12,2020-08-16, myWorld Motorrad Grand Prix von Österreich,Red Bull Ring - Spielberg,AUSTRIA,"(47.2235392, 14.7604645)"
13,2020-08-30, British Grand Prix,Silverstone Circuit,GREAT BRITAIN,"(52.0718116, -1.01429912415686)"
14,2020-09-13, Gran Premio Octo di San Marino e della Riviera di Rimini,Misano World Circuit Marco Simoncelli,ITALY,"(43.9622107, 12.6840429850135)"
15,2020-10-04, Gran Premio de Aragón,MotorLand Aragón,SPAIN,"(41.07926445, -0.206414553372675)"
16,2020-10-18, Motul Grand Prix of Japan,Twin Ring Motegi,JAPAN,"(36.53364655, 140.229984942119)"
17,2020-10-25, Australian Motorcycle Grand Prix,Phillip Island,AUSTRALIA,"(-29.1228356, 167.948132251517)"
18,2020-11-01, Shell Malaysia Motorcycle Grand Prix,Sepang International Circuit,MALAYSIA,"(2.7601913, 101.736858607147)"
19,2020-11-15, Gran Premio Motul de la Comunitat Valenciana,Circuit Ricardo Tormo,SPAIN,"(39.4955257, -0.6257045)"
